,ID,Artist,Title,Image URL,Painting Info URL,Artist Info URL,name,artist,artist_1,artist_name,artist_name_1,content_id
3,58d1240cedc2c94f900fc610,Vadym Meller,Monk. For the Play &#39;Mazeppa&#39;,https://uploads2.wikiart.org/00124/images/vadym-meller/monk-for-the-play-mazeppa-1920.jpg,https://www.wikiart.org/en/vadym-meller/monk-for-the-play-mazeppa-1920,https://www.wikiart.org/en/vadym-meller,monk-for-the-play-mazeppa-1920.jpg,vadym-meller,vadym-meller,vadym-meller,vadym-meller,9223372032559813356
4,57727de7edc2cb3880e91f26,David Wilkie,The Defence of Sarago&#231;a,https://uploads6.wikiart.org/images/david-wilkie/the-defence-of-sarago-a.jpg,https://www.wikiart.org/en/david-wilkie/the-defence-of-sarago-a,https://www.wikiart.org/en/david-wilkie,the-defence-of-sarago-a.jpg,david-wilkie,david-wilkie,david-wilkie,david-wilkie,277193
8,57728255edc2cb3880f7644a,Robert Smithson,Mirror and Crushed Shells,https://uploads7.wikiart.org/images/robert-smithson/mirror-and-crushed-shells-1969.jpg,https://www.wikiart.org/en/robert-smithson/mirror-and-crushed-shells-1969,https://www.wikiart.org/en/robert-smithson,mirror-and-crushed-shells-1969.jpg,robert-smithson,robert-smithson,robert-smithson,robert-smithson,302286
9,5772843bedc2cb3880fd334d,Richard Serra,One Ton Prop (House of Cards),https://uploads7.wikiart.org/images/richard-serra/one-ton-prop-house-of-cards-1969.jpg,https://www.wikiart.org/en/richard-serra/one-ton-prop-house-of-cards-1969,https://www.wikiart.org/en/richard-serra,one-ton-prop-house-of-cards-1969.jpg,richard-serra,richard-serra,richard-serra,richard-serra,312873
14,577284a7edc2cb3880fe813a,Francis Picabia,Dances at the Spring,https://uploads2.wikiart.org/images/francis-picabia/dances-at-the-spring-1912.jpg,https://www.wikiart.org/en/francis-picabia/dances-at-the-spring-1912,https://www.wikiart.org/en/francis-picabia,dances-at-the-spring-1912.jpg,francis-picabia,francis-picabia,francis-picabia,francis-picabia,315234
16,57726ff3edc2cb3880bc56a7,Jacques-Louis David,"The Consecration of the Emperor Napoleon and the Coronation of the Empress Josephine by Pope Pius VII, 2nd December 1804",https://uploads6.wikiart.org/images/jacques-louis-david/the-consecration-of-the-emperor-napoleon-and-the-coronation-of-the-empress-josephine-by-pope-1807.jpg,https://www.wikiart.org/en/jacques-louis-david/the-consecration-of-the-emperor-napoleon-and-the-coronation-of-the-empress-josephine-by-pope-1807,https://www.wikiart.org/en/jacques-louis-david,the-consecration-of-the-emperor-napoleon-and-the-coronation-of-the-empress-josephine-by-pope-1807.jpg,jacques-louis-david,jacques-louis-david,jacques-louis-david,jacques-louis-david,197941
20,577287d9edc2cb38800895a7,Joan Brown,Self Portrait with Cloud &amp; Cigarette,https://uploads2.wikiart.org/images/joan-brown/self-portrait-with-cloud-cigarette-1964.jpg,https://www.wikiart.org/en/joan-brown/self-portrait-with-cloud-cigarette-1964,https://www.wikiart.org/en/joan-brown,self-portrait-with-cloud-cigarette-1964.jpg,joan-brown,joan-brown,joan-brown,joan-brown,334837
22,57726f83edc2cb3880bb117d,Honore Daumier,Don Quixote and Sancho Pansa Having a Rest under a Tree,https://uploads4.wikiart.org/images/honore-daumier/don-quixote-and-sancho-pansa-having-a-rest-under-a-tree.jpg,https://www.wikiart.org/en/honore-daumier/don-quixote-and-sancho-pansa-having-a-rest-under-a-tree-1855,https://www.wikiart.org/en/honore-daumier,don-quixote-and-sancho-pansa-having-a-rest-under-a-tree.jpg,honore-daumier,honore-daumier,honore-daumier,honore-daumier,195534
25,577284fbedc2cb3880ffab14,Corneille,Planets,https://uploads1.wikiart.org/images/corneille/planets-1974.jpg,https://www.wikiart.org/en/corneille/planets-1974,https://www.wikiart.org/en/corneille,planets-1974.jpg,corneille,corneille,corneille,corneille,316949
31,57727014edc2cb3880bce964,Francisco de Zurbaran,St. Apollonia,https://uploads6.wikiart.org/images/francisco-zurbaran/st-apollonia-1636.jpg,https://www.wikiart.org/en/francisco-de-zurbaran/st-apollonia-1636,https://www.wikiart.org/en/francisco-de-zurbaran,st-apollonia-1636.jpg,francisco-zurbaran,francisco-de-zurbaran,francisco-zurbaran,francisco-de-zurbaran,198657
36,57728984edc2cb38800de804,Joseph-Marie Vien,Greek Woman at the Bath,https://uploads7.wikiart.org/images/joseph-marie-vien/greek-woman-at-the-bath-1767.jpg,https://www.wikiart.org/en/joseph-marie-vien/greek-woman-at-the-bath-1767,https://www.wikiart.org/en/joseph-marie-vien,greek-woman-at-the-bath-1767.jpg,joseph-marie-vien,joseph-marie-vien,joseph-marie-vien,joseph-marie-vien,348021
43,57728943edc2cb38800d2c83,Pierre Roy,"Boris Anrep in his Studio, 65 Boulevard Arago",https://uploads3.wikiart.org/images/pierre-roy/boris-anrep-in-his-studio-65-boulevard-arago-1949.jpg,https://www.wikiart.org/en/pierre-roy/boris-anrep-in-his-studio-65-boulevard-arago-1949,https://www.wikiart.org/en/pierre-roy,boris-anrep-in-his-studio-65-boulevard-arago-1949.jpg,pierre-roy,pierre-roy,pierre-roy,pierre-roy,345538
45,57727fb8edc2cb3880eecaef,Edward Weston,"Dunes, Oceano",https://uploads1.wikiart.org/images/edward-weston/dunes-oceano-1936.jpg,https://www.wikiart.org/en/edward-weston/dunes-oceano-1936,https://www.wikiart.org/en/edward-weston,dunes-oceano-1936.jpg,edward-weston,edward-weston,edward-weston,edward-weston,287058
46,577284e2edc2cb3880ff2f1e,Manuel Neri,Figure with Legs Crossed,https://uploads2.wikiart.org/images/manuel-neri/figure-with-legs-crossed-1991.jpg,https://www.wikiart.org/en/manuel-neri/figure-with-legs-crossed-1991,https://www.wikiart.org/en/manuel-neri,figure-with-legs-crossed-1991.jpg,manuel-neri,manuel-neri,manuel-neri,manuel-neri,316531
48,57728219edc2cb3880f6b0be,Vieira Portuense,S&#250;plica de In&#234;s de Castro,https://uploads3.wikiart.org/images/vieira-portuense/s-plica-de-in-s-de-castro.jpg,https://www.wikiart.org/en/vieira-portuense/s-plica-de-in-s-de-castro,https://www.wikiart.org/en/vieira-portuense,s-plica-de-in-s-de-castro.jpg,vieira-portuense,vieira-portuense,vieira-portuense,vieira-portuense,300785
58,57727759edc2cb3880d461ff,Vasily Tropinin,Portrait of Alexander Pushkin,https://uploads5.wikiart.org/images/vasily-tropinin/not_detected_241177.jpg,https://www.wikiart.org/en/vasily-tropinin/not_detected_241177,https://www.wikiart.org/en/vasily-tropinin,not,vasily-tropinin,vasily-tropinin,vasily-tropinin,vasily-tropinin,241177
60,577285e4edc2cb388002632f,Allen Jones,Table,https://uploads1.wikiart.org/images/allen-jones/table-1969.jpg,https://www.wikiart.org/en/allen-jones/table-1969,https://www.wikiart.org/en/allen-jones,table-1969.jpg,allen-jones,allen-jones,allen-jones,allen-jones,322160
64,57727043edc2cb3880bd8d6a,Camille Corot,Souvenir of Mortefontaine,https://uploads5.wikiart.org/images/camille-corot/souvenir-of-mortefontaine-1864.jpg,https://www.wikiart.org/en/camille-corot/souvenir-of-mortefontaine-1864,https://www.wikiart.org/en/camille-corot,souvenir-of-mortefontaine-1864.jpg,camille-corot,camille-corot,camille-corot,camille-corot,199743
65,577281caedc2cb3880f59ad8,Gheorghe Tattarescu,"February 11th, 1866 - The Modern Romania",https://uploads5.wikiart.org/images/gheorghe-tattarescu/february-11th-1866-the-modern-romania-1866.jpg,https://www.wikiart.org/en/gheorghe-tattarescu/february-11th-1866-the-modern-romania-1866,https://www.wikiart.org/en/gheorghe-tattarescu,february-11th-1866-the-modern-romania-1866.jpg,gheorghe-tattarescu,gheorghe-tattarescu,gheorghe-tattarescu,gheorghe-tattarescu,298982
69,57727e83edc2cb3880eb0d2b,Andrea Mantegna,Julius Caesar on a triumphal car,https://uploads5.wikiart.org/images/andrea-mantegna/julius-caesar-on-a-triumphal-car-1506.jpg,https://www.wikiart.org/en/andrea-mantegna/julius-caesar-on-a-triumphal-car-1506,https://www.wikiart.org/en/andrea-mantegna,julius-caesar-on-a-triumphal-car-1506.jpg,andrea-mantegna,andrea-mantegna,andrea-mantegna,andrea-mantegna,280560
73,57728261edc2cb3880f7748f,Canaletto,Perspective with a Portico,https://uploads2.wikiart.org/images/canaletto/perspective-with-a-portico-1765.jpg,https://www.wikiart.org/en/canaletto/perspective-with-a-portico-1765,https://www.wikiart.org/en/canaletto,perspective-with-a-portico-1765.jpg,canaletto,canaletto,canaletto,canaletto,302603
77,57728736edc2cb388006b406,William Turnbull,Horse,https://uploads6.wikiart.org/images/william-turnbull/horse-1954.jpg,https://www.wikiart.org/en/william-turnbull/horse-1954,https://www.wikiart.org/en/william-turnbull,horse-1954.jpg,william-turnbull,william-turnbull,william-turnbull,william-turnbull,330581
80,577279ceedc2cb3880dc81af,Franz Marc,Blue Fox,https://uploads3.wikiart.org/images/franz-marc/blue-fox-1911.jpg,https://www.wikiart.org/en/franz-marc/blue-fox-1911,https://www.wikiart.org/en/franz-marc,blue-fox-1911.jpg,franz-marc,franz-marc,franz-marc,franz-marc,254666
83,577283cbedc2cb3880fbda39,Aaron Siskind,Feet 102,https://uploads6.wikiart.org/images/aaron-siskind/feet-102-1957.jpg,https://www.wikiart.org/en/aaron-siskind/feet-102-1957,https://www.wikiart.org/en/aaron-siskind,feet-102-1957.jpg,aaron-siskind,aaron-siskind,aaron-siskind,aaron-siskind,310307
